name,description,startrange,endrange,subnetmask,scopeid,router,voip
Temp PTI - Users,PTI Users/Printers,10.103.65.50,10.103.65.254,255.255.255.0,10.103.65.0,10.103.65.1,0
Temp PTI - Voice,PTI VOIP,10.105.65.50,10.103.65.254,255.255.255.0,10.105.65.0,10.105.65.1,1
